Comment
always grateful to meet u🩷🩷🩷🩷
Jangan sedih max nanti kita naik odong-odong ya di surabaya
"terima kasih udah membawa warna baru di CoC bro well, semangat terus kedepannya👊👊"
yang kita semua tunggu tunggu🔥🙌
Tetap semangat bro 🔥🔥🔥
thank you maxwell udah jadi tempat ngobrol asyik waktu keelim bareng 😇
"You did very well! Keep it up, Max! I am sure you will do better out there. 🙌🔥👏"
"Suwun well, keren!"
"penglaris coc pamit undur diri 😭 makasihh max udah menghiasi acara ini, dr awal effortnya ga maen2 buat promosiin ni acara. good luck buat apapun ke depannya 🙌"
lu uda keren bgt max 🔥
glad to meet you here!! best of luck max🙌
Well done max!! Kapan2 kt kulineran di surabaya
thank uuu maxwell dah buat CoC makin seruu! sukses ke depannya yaa 🙌
semangatt terus maxx! ayok kita perjuangan per pilmapresan ini🔥🔥🔥
"Dari sudut pandang aku teteh2 umur 27 yaa, maxwell ini disisi lain sebagai anak pinter mahasiswa kedokteran, dia ini remaja biasaaa, manusia biasaaa kaya kita yang juga suka ceplas ceplos apalagi karakternya max tu ceria pol, pasti gabetah kalo ga lawak atau canda atau bahan storyan. Cuma dalam kasus ini max memang salah karna ketidaktahuannya, terlebih max ini skrg dikenall banyak orang jadi banyak banget nih yang berekspektasi lebih terhadap max utk jadi sesempurna mungkin pdhl diapun ada khilafnya. Sebelumnya pun pas kasus mcd si cewe merah kacamata itu aku liat tau tp gak ikut menghujat cuma menyayangkan habistu mendoakan. Begitupun ke max, aku menyayangkan lalu mendoakan. Alhamdulillah max ambil langkah tepat yaitu koreksi diri, banyak belajar jadi dia ngerti malah berbagi ilmu sama yg diluar sana yg mungkin juga ada yg belum faham. 
Max skrg aku liat berubah agak pendiam agak seperlunya, jujur aku kangen kamu max yang suka komen random di post siapa ajaaaa. Jangan murung lamalama max, hujan ada redanya. Lekas aselole lagi yaa! @maxwellsalvadorr"
sampai jumpa temen gabut di lantai 2 pas yang laen pusing cryptarithm
"thank you Maxwell,  setidaknya jadi kenal orang hebat, dan inspiratif kayak kamuu! tolong tetap bertahan untuk memberikan banyak inspiratif lainnya  yaa, well! jangan lupa jaga kesehatan mental dan fisik! we love u🌷🌷🫶🏻"
"people come and go, tpi kak Maxwell bolak-balik😭"
Makasih mas meks ❤️
Good luck buat mapres nasionalnya kaak!🙌🏻
Very grateful to be part of Maxwell team!🤩 Good luck max buat mapres nasionalnya!
"teman, tolong unblock kita dong😭"
you did a great job well!! so proud of you🔥👏
maxwell versi kalem tp kita yg pada tantrum😢
"gaopo, kon wes brusaha sg terbaik pokoe, moleh mangan es grem ngkok"
welll lagu nya ganti DJ aj well😔
semangat teman 😊🙏
panutanqqqq🤩🤩🤩
Akhirnya teman udah update lagi😭😭❤️
"Gagal bukan krn bodoh, tapi krn kita belum pernah denger atau berlatih tentang ilmu itu. Bisa saja seorg Albert Einstein tidak tahu bagaimana cara membuat nasi goreng krn dia gak tahu nasi goreng seperti apa bahkan berlatih cara membuat nasi goreng tersebut."
lagunya bisa ganti goyang dumang aja ga kak?🥰
max ayo njajan ndek kodam
"nda papaa well, sukses terusss!!! kali ini ak bener-bener galau ini gara2 kon ke elim😭😭😭😭🔥 jiayouu well"
"halo teman, jangan di blokir lama lama dong teman, live lagi teman😞🙏🏻"
Max keren🔥😍selalu nunggu ocehanmu🙌
"Semangat truss well, kamu udh berusaha yg terbaik🥹❤️❤️"
"Proud of you maxwell🥺 semangat terus yahh, kamu keren🔥terimakaciii utk kelucuannya😍"
🔥🔥🔥
very proud of you❤️❤️❤️
semangattt temann👏😻
siklus maxwell : hidup - kubur - bangkit - kubur lagi
"Maxwell yu keren sekaliii, maxwell tetep semangat yaa, banyak yg dukung yuu 🤩👍🏻💖"
"max makasih udh menginspirasi banyak orang, semangat terus ya!!! 🫶"
"maxwell ayo aktif lagi di salurannn, ayo ajarin kita b.jawa lagiii, kangennn😔"
PROUD OFF MAXWELL...KANGENN KAMU YG SRING NGOMELIN FANS DI LIVE
"Proud of you max,i miss u so bad:("
"hai, pa dokter keren banget🙌🏻🔥"
MAXWELL :( KAMU HEBAT KOKKK🫂👊🏻🤍
it's okey maxwell🙌 kamu keren bangett!! kamu paserta fav akuu😋
"its okay teman🙏🏼😊, kamu keren bgt bisa menjawab pertanyaan itu🙏🏼😊"
"Kamu keren teman🙏🏻😊, semangat terus teman, saya sangat senang berteman dengan bapak mekswell 🙏🏻😊"
"semanget Maxwell, walaupun pamit,kembali,pamit lagi😭😭"
"gapapa ko, kmu udh ngrjain brp soal itu udh keren 😻😻🫂🫂🫂"
"maxwelll kerennn bngttt😢😢pls jangan sedih dongg, kamii msih mau denger ocehan medok kmu well"
Kangen cerewet e Maxwell🥺🥺🥺
🗿
"katanya mau ngalahin bocah bocah bertiga itu , kok kamu malah pulang max🤭"
Keep the spirit my king!! Maxwell 🔥
u did ur best well😍
Ttp semangat TEMANN🔥
"gapapa teman,yg penting teman sudah berusaha 🔥🔥"
"Welll, tok bangkit lagi. Kita semua menunggu kerandomanmu 😢"
❤️ well
sedih tementemen😞
Kamu keren kk maxwell😍👏
kamu udah kerennn bangett tauu maxwellll proud of u😭🫂
Gpp well. U did so well ☺️🫵🏻
kangen well
u did max and well🙌
Well kami kangen di omeli kon well😂
Lv u as always max🔥
Keren Maxwell ❤️
"selamat menjalani perjalanan baru mu max!! ada banyak hal batu menantimu didepan sana, terimakasih telah berusaha semaksimal mungkin dan brlajar dari setiap kesalahan mu. lekas membaik untuk hati dan perasaanmu yg sedang kacau."
"you did well, maxwell"
"people come and go, tp lu bolak balik 😭🤏"
Ur doing great maxwell!! salah satu yg bkin seru COC ya krna ada maxwell 🔥👏 tetap menyalaa dimanapun berada 🔥
u already do ur best!! kamu keren bangettt semangat terus yaa 💐🤍
cupu kon wel😋
"Maxwell, tp sekarang pengetahuanmu bertambah lo waktu bersama BDS kemarin.. its okay 👏"
❤️❤️❤️❤️❤️
"#maxwellselaluganteng gue malah salfok sama maxwell yang selalu ganteng puol, wkwkwkwkwk cukup bangga sama maxx sejauh ini maxx udah berusaha semaksimal mungkin 👐🏻"
harusnya pake sound sekop sekop well😭
Kamu ttp juara di hatiku teman 🙏😊
TEMANKU KEMBALI🔥🔥🔥 Great job teman👏👏👏 So proud😇🥹🙏
maxwell paling kerennn semangattt terusss💗🔥
"you're doing great well, semangat ❤️"
so proud of you Max🤍
Revival challenge lagi dong
"People come and go, tapi maxwell bolak balik😭🤚"
PROUD OF YOU MAXX❤️❤️❤️
❤️
"Semangattt well, banggaa polll punya adek tingkat kayak kamuuu. Ditunggu comeback untuk prestasi prestasi lainnya dan asbunnya seng sumpah garaakno ngakak"
"Maxxx, thx udah mewakili dan mengharumkan nama kampus kita sebaik dan semaksimal mungkin 🔥👏"
Thank you for doing your best🔥
U did ur best Maxwell✨ semangat selalu💫😊
